pref,amInd,asian,black,hispanic,white,occurences
ste,0.001660197,0.004729627,0.016445951,0.014789789,0.947794718,36939
sta,0.012033818,0.003361246,0.004146552,0.015118211,0.949071095,8874
beg,0.0035,0.0086,0.0121,0.009,0.9543,2560
bey,0.0023,0.0063,0.002,0.0128,0.9681,17910
str,0.002570956,0,0.005489449,0.011375478,0.963986654,2720
rab,0.0084,0,0,0.0158,0.9554,1077
sac,0,0,0,0.0198,0.9543,656
sab,0.0048,0.0062,0.0076,0.0235,0.9419,1445
pro,0.003044488,0.005327854,0.05543657,0.01650561,0.90488387,7148
pru,0,0,0,0,0.9665,538
say,0.0053,0.0036,0.0257,0.0145,0.9411,15547
rap,0.0159,0.0027,0.0298,0.0112,0.9228,4895
sav,0,0,0,0.014,0.9814,644
lie,0.00202975,0.002633643,0,0.012493027,0.966276119,3442
zob,0,0.008,0,0.0105,0.968,1623
lin,0.001302164,0.005736871,0.002200209,0.01696292,0.961536454,7670
lit,0,0.011,0,0.0086,0.951,817
lip,0,0.0043,0,0.0187,0.9693,2082
sei,0,0,0,0.0164,0.9508,488
lis,0,0,0,0.0209,0.9668,814
ego,0,0,0,0.008,0.9839,1119
mir,0,0.002495716,0.002453964,0.015717184,0.968956425,2031
kac,0,0,0,0.0132,0.9785,604
kae,0,0.0068,0,0.0109,0.9632,734
whi,0.007033612,0.002702556,0.017333635,0.013354897,0.947519136,8842
kal,0,0,0,0,0.9675,493
kas,0.001966548,0.003548711,0.005354662,0.01425304,0.96562669,6167
kar,0,0.004872046,0,0.009793806,0.96740326,1227
cap,0,0,0,0.0235,0.9629,808
rhe,0,0,0,0.01,0.9789,804
cle,0.002276243,0.00259623,0.006813227,0.009430647,0.957425252,3077
ke,0.012399568,0.003783081,0.05512599,0.011832227,0.903253449,20616
kn,0,0.005967941,0,0.006662255,0.975016029,3007
kl,0.001887144,0.004445692,0.007253694,0.014696519,0.961650819,22783
kr,0.006263122,0.004697956,0.000612489,0.014356322,0.961571146,11690
ku,0.001951421,0.004623483,0.003998873,0.013333739,0.96735009,7810
dos,0.014,0.0084,0.0209,0.0237,0.9078,716
iri,0,0.0116,0,0.9555,0.0251,517
lub,0.0049,0.0049,0.0323,0.0129,0.9321,1855
