Gram,Ethnicity,Occurences
pfu,4,676
dze,4,1641
iio,4,969
duc,4,61391
ppm,4,2358
tcr,4,1041
ocu,4,20337
ahe,4,100583
ndn,4,8818
syp,4,1638
og,4,1015788
enn,4,1289271
uys,4,2415
oe,4,919890
tau,4,47200
fei,4,58830
dl,4,916493
sro,4,13988
tae,4,2473
tag,4,101381
taa,4,10308
tac,4,99404
xcy,4,610
ysh,4,2542
cni,4,13119
taj,4,1211
gca,1,690
xna,4,2480
afn,4,5727
sip,4,23635
siw,4,1162
afk,4,1753
afe,4,82889
syv,4,2278
dwy,4,29997
sic,4,64000
chk,4,19327
ndz,4,460
eft,4,13525
aft,4,99352
xne,4,3196
sih,1,1163
dwo,4,17065
afs,4,28398
afl,4,20266
npi,2,2584
nph,4,7698
npe,4,9432
edp,4,734
sru,4,1540
npa,4,3824
xni,4,569
tpi,4,9253
ovn,4,590
sit,4,71077
hum,4,245466
fug,4,13182
ndw,4,3356
zf,4,11152
siz,4,22603
ndv,4,2271
usl,4,16803
aff,4,341667
kbi,4,1744
hif,4,31909
kbl,4,421
owl,4,378607
jny,4,430
kbe,4,4408
jna,4,3828
kby,4,412
uwa,1,1337
kbr,4,3150
jni,4,1796
jno,4,658
kbu,4,39422
eum,4,30631
eul,4,6148
tsl,4,2492
tsm,4,11505
eui,4,2092
tsk,4,5669
euk,4,1050
euj,2,512
eue,4,22151
byw,4,988
euf,4,6798
lj,4,774
tsc,4,63559
lh,4,169434
tsa,1,19224
lt,4,1942901
eux,4,23136
euz,4,1242
tsw,4,2241
tst,4,8588
euv,4,5658
lz,4,153382
eup,4,1136
lx,4,5413
eur,4,51349
bav,4,849
daf,4,5339
dag,4,30839
daa,4,398
huh,4,12103
lzs,4,501
dah,4,66129
dai,4,92459
lzw,4,2394
dak,4,16338
lzi,4,3312
lzh,4,1657
bau,4,401566
lzm,4,6751
lzl,4,536
lzo,4,5610
lzn,4,412
lzb,4,617
lze,4,39986
lzg,4,474
edq,4,435
urc,4,180443
dwi,4,241122
env,4,4346
baq,3,1152
fag,4,25850
ixb,4,3949
kpa,4,26645
uhe,4,3610
nft,4,3877
kpo,4,1329
lfe,4,109882
lfg,4,1584
lff,4,21321
rpt,4,1091
hly,4,1933
oul,4,203901
hlw,4,509
lfl,4,1409
hlu,4,7954
zc,3,79609
hlr,4,415
hlq,4,3919
udf,4,1204
hlo,4,21078
hlm,4,24399
oux,4,27064
hlk,4,4495
bax,4,57323
hli,4,161174
hlh,4,2358
hlg,4,6488
hlf,4,4607
hle,4,259016
oup,4,31281
ouw,4,5009
hlb,4,8236
hla,4,33077
out,4,275932
cwy,4,422
tou,4,91740
rex,4,19616
vch,4,1986
vci,4,785
rej,3,43366
rek,4,46435
reh,4,61933
rei,4,594062
jof,4,1575
rem,4,121757
reb,4,46117
rec,4,137407
ref,4,23484
oxi,4,1691
hut,4,219027
aol,4,15107
ecc,4,19138
kst,4,58835
vak,4,42983
quy,4,753
ecn,4,2658
ecl,4,12376
eck,4,719806
ech,4,251211
ecv,4,431
ecu,4,6136
ecs,1,572
ecr,4,12430
ehr,4,114266
ecz,4,7752
lts,4,31704
ltq,4,1001
rcz,4,11554
ltz,4,253069
lty,4,32740
vam,4,445
oxa,1,1201
zzy,4,1180
ltb,4,2812
ltg,4,2185
ltf,4,462
lte,4,322725
vac,4,47503
ltk,4,1445
oyb,3,6263
lth,4,26683
rrs,4,8909
ltn,4,15841
ltm,4,36813
ltl,4,927
ihy,4,2895
pga,4,2288
ihr,4,1730
yhr,4,2992
ihu,3,2663
ihi,4,3619
ihn,4,1809
iho,4,1066
ihl,4,3973
ihm,4,1407
iha,4,28753
ihf,4,524
ihd,4,763
ihe,4,6951
ehf,4,835
ixd,4,450
udg,4,39242
uho,4,7092
ehg,1,736
lop,3,681725
kul,4,38772
vay,4,9688
man,4,5300971
zy,4,91041
rsm,4,15163
rsn,4,824
udv,4,449
lot,4,114676
udt,4,8911
ghu,4,10002
rsd,4,7665
rse,4,345325
rsf,4,1998
rsg,4,842
ogs,4,20440
rsc,4,57408
udb,4,1427
cyb,4,1296
ogo,4,8964
ogn,4,10627
ogi,4,10625
ogh,4,21012
rsz,4,931
eho,4,34339
rst,4,260192
ogd,4,32227
ogg,4,128612
cyo,4,797
cyn,4,666
udm,4,3439
bej,3,6608
bek,4,9668
beh,4,48603
ibo,4,37794
beo,4,585
bem,4,8323
bec,4,365163
bea,4,495788
bef,4,566
cli,4,199896
bee,4,184988
nuc,4,17559
ybi,4,6887
ybk,4,641
ybl,4,1367
ber,4,3349820
ybb,4,486
bew,4,397
beu,4,4541
buz,4,11184
juc,4,459
zno,4,564
bux,4,8180
ghy,4,4209
utg,4,744
ke,4,7199358
ghd,4,545
mik,4,38517
mij,3,11217
mio,4,2378
ghe,4,450086
arl,4,786208
mic,4,326967
tus,4,54919
mid,4,238553
mif,4,1837
miy,1,8991
bur,4,1560138
miz,4,25556
arn,4,1159205
juk,4,515
mir,3,556316
bup,4,930
gha,4,327366
whe,4,196042
buq,4,1949
wha,4,77331
awy,4,57442
pyp,4,598
awv,4,5331
pyr,4,1708
pys,4,505
pyt,4,762
pyu,1,448
ead,4,394470
awo,4,13125
ghl,4,130996
awl,4,130182
pyl,4,23747
kk,4,31031
awi,4,17723
ghm,4,19537
awg,4,497
awe,4,25525
pyc,4,524
awc,4,10065
awb,4,4439
cke,4,1606977
ckd,4,4296
urf,4,20317
urg,4,313239
cka,4,132372
ckb,4,45582
ckm,4,205242
ckl,4,332689
woz,4,11288
cki,4,331314
buh,4,11912
urj,3,484
urk,4,307102
cku,4,8846
ckt,4,16476
ckw,4,133776
kj,4,1297
zw,4,24517
ckp,4,1329
ckr,4,27273
ibd,4,1119
qv,1,912
cky,4,8742
ury,4,135452
urz,4,9201
szk,4,5085
ogb,4,7358
szi,4,1111
szn,4,485
dbl,4,5559
szl,4,808
lsg,4,567
dba,4,3004
szc,4,7949
sza,4,22836
dbe,4,114256
lsd,4,898
sze,4,30603
dby,4,5950
bub,4,6669
szy,4,15456
buc,4,290700
szp,4,439
dbr,4,1362
dbu,4,18501
szw,4,470
szu,4,2971
ngd,4,16256
nge,4,1009024
ksw,2,1252
ngb,4,30171
jay,4,23213
hux,4,3213
jaw,4,10212
ngn,4,3642
jau,3,10939
ksy,4,664
jap,1,395
zq,3,131046
won,1,124071
szo,4,2721
jak,4,11865
jah,4,13218
ksb,4,2983
jaf,4,8898
jag,4,13216
jad,3,14164
jae,4,12837
jab,4,13058
ngy,4,2186
woh,4,8267
tby,4,7048
lvu,4,733
mga,4,32997
muc,4,18730
mge,4,814
xdo,4,450
uti,3,285241
bud,4,24089
zr,4,3028
tbi,4,1959
mgr,4,6207
lsh,4,137842
mul,4,306802
tba,4,1292
tbe,4,8370
muo,4,402
shp,1,1031
aep,1,2653
shr,4,54341
gbe,4,19158
sht,4,15789
dpr,4,445
shv,4,478
aev,4,406
aey,4,1344
aez,3,54058
thh,4,551
shb,4,78119
gbu,4,7845
gbr,4,613
she,4,1137450
aeg,4,25245
aef,4,65577
qi,1,8207
aeh,4,2896
aek,1,3251
shk,4,3054
aem,4,7503
shm,4,56581
aen,3,29784
ebd,4,1061
omc,4,3792
bts,4,655
btr,4,25929
ebl,4,79809
ebm,4,3911
ebn,4,13886
ebh,4,11139
we,4,4688745
iby,4,3737
ebu,4,18974
ebv,4,5991
omg,4,2210
yjo,4,2288
ysn,4,517
eby,4,14768
lur,4,59531
lus,4,78153
lut,4,89284
luu,1,11965
feg,4,5284
luw,1,884
lux,4,6047
lsz,4,5628
dli,4,55900
lub,4,25361
lud,4,45771
luf,4,11004
luh,4,7637
luj,3,20259
luk,4,47828
keo,4,25893
ken,4,765121
kem,4,97528
kel,4,863593
kek,2,920
kei,4,91110
keh,4,17610
keg,4,6062
kef,4,23200
kee,4,291552
kec,4,13329
keb,4,4770
kea,4,106259
vrb,4,555
vra,4,10876
jod,4,1334
kez,4,632
key,4,371339
jog,4,985
kev,4,1542
vri,4,14697
vro,4,6888
gru,4,96279
kep,4,15795
etr,4,136077
ets,4,71964
etp,4,867
etv,4,481
etw,4,15432
ett,4,2321412
etu,4,416
etz,4,208591
oug,4,523142
tly,4,5101
ety,4,2789
iej,4,5201
zbu,4,1528
etc,4,139117
etf,4,1255
enm,4,21817
gti,4,1279
etj,4,2956
etk,4,2461
tli,4,75837
etn,4,3875
etl,4,33758
etm,4,9999
cj,4,2171
rps,4,6347
ucs,4,887
ucr,2,595
cm,4,240832
cc,4,1548317
eua,4,492
omt,4,1567
cg,4,510651
ucz,4,7319
ucy,4,9143
cd,4,497011
cz,4,150585
cy,4,186097
ucc,4,87457
psk,4,4484
uud,4,1460
uco,4,13039
rph,4,315210
ucl,4,3620
uck,4,619698
cv,4,21931
rpo,4,14562
uch,4,339113
bbo,4,92048
tix,4,1149
bbl,4,37924
yay,1,573
bbi,4,130496
yaz,0,16027
yau,4,1816
yat,4,135879
yaw,4,6125
uif,4,461
byl,4,16554
ysm,4,395
yao,1,4592
zby,4,1221
bby,4,16768
yaj,4,1235
yae,4,3495
bbu,4,527
yaf,4,787
bbr,4,1767
yac,4,3077
byk,4,579
oth,4,316184
oti,4,13011
lgh,4,6731
otk,4,4520
lgl,4,1142
unq,4,399
zze,4,29730
pid,4,5000
lga,3,163785
iss,4,313525
otf,4,1154
lge,4,39292
oty,4,21402
otz,4,27831
pif,4,3901
eut,4,31811
lgr,4,22339
cou,4,247478
otu,4,3411
otv,4,2427
otw,4,6009
ysk,4,1136
pix,4,3766
ysi,4,5316
tsu,1,18161
unv,4,471
rby,4,118805
ysl,4,8087
ysc,4,1055
byb,4,4313
rbu,4,48312
rbs,4,9592
yse,4,30300
ysd,4,1912
ysz,4,1752
tsp,4,637
cvi,4,4439
oey,4,4752
rbe,4,320293
cve,4,9250
zfo,4,467
cva,4,8242
llh,4,13569
tja,4,2753
vc,4,2771
vd,4,612
wko,4,429
vg,4,550
wka,4,1491
avu,4,432
vk,4,2436
vl,4,43785
vn,4,6681
avl,4,16774
mya,4,3618
vr,4,48582
vs,4,5815
vu,1,47306
vv,4,1200
tje,4,7657
wks,4,9549
ogt,4,18458
avc,4,932
fki,4,5022
uiz,3,191284
fkn,4,394
fko,4,3668
fka,4,2820
zgr,4,474
zgu,3,509
zgi,4,4317
zgo,4,531
ilr,4,12708
zge,4,94428
cju,4,2171
zza,4,60136
igw,4,456
ilp,4,32059
phl,4,462
iov,4,13285
iot,4,182359
ios,3,181568
ior,4,93682
phe,4,433120
mze,4,823
phy,4,312574
dih,4,425
mza,4,1617
ioi,4,3039
phs,4,6973
iof,4,425
mzo,4,687
ioc,4,2266
iob,4,647
phu,1,9507
igr,4,19879
ofb,4,957
zyg,4,1836
zyd,4,918
ofa,4,11770
off,4,504462
ofg,4,3027
ofe,4,16809
zyn,4,18298
ofk,4,613
zyl,4,3362
zym,4,11253
ofn,4,1882
ofo,4,11341
ofl,4,5695
ofm,4,13646
wyg,4,2269
ofs,4,5617
wye,4,92837
ofq,4,708
zys,4,1136
oft,4,66216
ofz,4,706
wym,4,12265
wyl,4,17236
zyz,4,1972
ibf,4,516
daq,4,641
uyc,4,1520
tgr,4,2420
tcz,4,1540
mfe,4,1005
xel,4,10443
nly,4,4538
mfl,4,486
mfo,4,13651
kke,4,25222
tcl,4,31631
xer,4,2142
hfe,4,2568
tca,4,29888
wec,4,7495
web,4,372855
adt,4,13137
weg,4,21066
ads,4,113929
wee,4,199784
wed,4,25160
wek,4,728
dax,4,443
wei,4,329445
weh,4,14692
adz,4,2731
wen,4,501184
wem,4,2213
ady,4,174967
wes,4,426537
wer,4,628461
wep,4,1008
adb,4,23202
wev,4,865
wet,4,66275
wez,4,690
wey,4,34041
wex,4,3784
ski,4,922859
adk,4,85573
gmu,4,3018
igb,4,15679
cnu,4,22122
fyf,4,4082
nvr,4,966
fye,4,2435
fyk,4,505
fyo,4,760
nve,4,11809
ufa,4,6908
nva,4,3569
nvo,4,2873
nvl,4,3621
mho,4,7168
igl,4,130499
mhe,4,1895
mha,4,3188
tjo,4,16542
xso,4,25908
nfl,4,2574
oep,4,19147
ubu,4,3731
goa,4,12352
njh,1,450
kda,4,4922
vsa,1,690
njw,1,593
nfi,4,77745
nju,3,1114
vsh,4,493
kdu,4,601
vsk,4,1363
iod,4,3535
vso,4,1647
esw,4,9100
ess,4,749006
esr,4,10214
zfe,4,526
esz,4,6285
esy,4,1105
tma,4,381433
ese,4,326533
tme,4,24708
kuf,4,1381
eso,4,140234
esn,4,51522
esk,4,54214
esj,4,6026
dco,4,22755
dcl,4,11031
dch,4,1428
dui,4,1478
pp,4,972356
dca,4,2738
fau,4,105936
izd,4,521
uty,4,12461
adv,1,1056
krz,4,4627
ndk,4,488
kry,4,2764
ndm,4,14062
ndl,4,261496
oyi,4,1913
lld,4,3593
ndc,4,489
ndb,4,39119
shc,4,11423
ndg,4,18148
kru,4,111019
edy,4,194161
kri,4,67076
kro,4,75568
ndq,4,22647
ndp,4,445
kra,4,231638
ndt,4,113937
oet,4,37964
kre,4,102644
owm,4,116288
ouk,4,16234
owo,4,6097
py,4,47955
owi,4,107951
rrm,4,15161
swe,4,241592
owg,4,4516
avn,4,2331
owb,4,11509
ouh,4,1769
owy,4,6000
owu,2,1433
owt,4,10854
oek,4,10187
owp,4,576
ows,4,395008
owr,4,51076
vaj,3,6969
dux,4,5684
vah,4,1223
vao,4,2145
yrn,4,43193
yro,4,14925
ebe,4,398804
rcu,4,55658
cny,4,1069
yre,4,89365
rcr,4,7206
yrg,4,1024
rcl,4,22397
lfm,4,1863
rth,4,587700
rch,4,364088
rci,3,925819
rck,4,10000
vas,3,314690
yrr,4,5734
vaq,3,3040
vav,4,2386
vaw,4,1751
vat,4,50454
udn,4,14118
eai,4,2220
eah,4,16845
eak,4,67988
hy,4,631690
eam,4,82832
hr,4,1112178
hls,4,9335
eac,4,161078
eab,4,17897
hv,4,3600
hw,4,250193
ox,4,643239
lfh,4,827
buj,4,612
hk,4,26610
hh,4,18871
eaz,4,10606
bun,4,107385
buo,4,3487
