Gram,Ethnicity,Occurences
dm,4,416456
dk,4,105514
yby,4,3609
dg,4,797772
kuh,4,55186
db,4,155769
dc,4,37952
xb,4,6299
yfu,4,1374
bei,4,41726
dz,4,29989
yfr,4,923
dy,4,1055217
dv,4,15136
eub,4,39117
dt,4,426584
kue,4,26465
dp,4,5031
dq,4,25169
eme,4,277677
emd,4,541
emg,4,814
emf,4,779
emc,4,3152
emb,4,78065
emm,4,115622
eml,4,13665
emn,4,2177
emh,4,530
emk,4,15591
suz,1,5233
bag,4,65618
emw,4,976
bab,4,69665
emp,4,183952
ems,4,26673
emr,4,7674
bam,4,7714
baj,3,18859
bak,4,461014
emz,4,425
xfi,4,5455
llt,4,420
nuz,4,6786
nux,4,431
job,4,15962
nut,4,74839
nus,4,60336
nup,4,4475
ybu,4,15440
nul,4,24085
nuk,4,1523
nuh,4,412
nuf,4,1097
nug,4,16260
nud,4,19477
csa,4,425
ldy,4,3962
efz,4,526
mut,4,33676
xfo,4,7009
irp,4,1277
irt,4,44897
irw,4,39672
irh,4,4607
irj,4,583
irk,4,200069
rtl,4,129671
irm,4,20392
irn,4,19570
mum,4,16686
koj,1,948
irb,4,78152
irc,4,68401
ird,4,113851
irf,4,4532
muj,3,1863
wg,4,5883
omb,4,300008
wtr,4,420
wc,4,35502
wb,4,62224
zba,4,1895
omd,4,425
omk,4,3581
wty,4,961
wm,4,222460
wl,4,527408
omn,4,1422
omm,4,59514
oml,4,45723
oms,4,78816
wv,4,6007
omq,4,3844
rgs,4,11031
ws,4,1138024
wte,4,5408
wq,4,807
wp,4,4801
wne,4,95049
omz,4,567
isb,4,52593
wy,4,275151
unp,4,3605
ilg,4,45846
ild,4,229256
uns,4,116259
ilb,4,251217
unu,3,425
cow,4,105976
unw,4,4421
iln,4,20477
cox,4,330111
unz,4,27550
coz,4,13742
ilj,4,774
ilh,4,42217
ybe,4,33274
fne,4,52782
und,4,494085
cod,4,33004
unf,4,8265
cof,4,99961
unh,4,26862
coh,4,107161
cok,4,26483
unk,4,138365
com,4,325039
unn,4,435673
ily,4,28048
wsl,4,645
hbi,4,1899
chd,1,1022
kwi,4,22242
ars,4,931075
kwu,2,538
yim,1,5426
opw,4,532
ouq,4,1253
fre,4,585484
ppo,4,39481
fri,4,306204
fro,4,91333
adc,4,26210
anl,4,203911
ppu,4,2965
fru,4,10966
rgd,4,1426
fry,4,88184
gte,4,552
ann,4,1175299
sis,4,52041
rge,4,677644
mco,4,3511
mcm,4,232958
mcj,4,2171
mch,4,44045
mcg,4,504269
sag,4,35010
mce,4,87773
rgg,4,3108
mcc,4,1274856
mca,4,142739
drz,4,2970
mcz,4,8346
els,4,954231
mcw,4,36014
mcv,4,21500
mct,4,7589
mcs,4,23046
mcp,4,63008
wfi,4,982
sly,4,11492
gnu,4,13694
slu,4,18639
gny,4,2194
anv,4,19101
elw,4,26182
aio,4,12816
gna,4,42061
sli,4,98873
gne,4,252722
aie,4,34062
gni,4,5759
aia,4,7203
gno,4,58572
iy,1,15368
tzp,4,39501
tzs,4,12656
tzr,4,444
tzw,4,4536
tzy,4,2023
ip,4,1002548
wqu,4,807
tza,4,1825
ih,4,61555
tzc,4,2512
tzb,4,2924
tze,4,184770
tzg,4,99573
tzf,4,10626
tzi,4,8858
opp,4,165929
tzk,4,12358
wdo,4,1867
tzm,4,35581
tzl,4,33119
tzo,4,4650
tzn,4,3043
dho,4,12388
euw,4,3970
dhe,4,5855
who,4,28197
wds,4,409
dhy,1,573
dhw,1,491
drm,4,529
dhr,1,4709
wdu,4,460
nij,1,509
nik,4,29513
nih,4,8255
nin,4,667209
mih,4,6725
kis,4,88227
nic,4,460248
drn,4,686
kiv,4,4112
kit,4,74819
vvo,4,1200
kij,4,455
tvi,4,4013
jko,4,3413
kil,4,157112
kic,4,3924
kib,4,18682
kig,4,10474
jka,4,5883
kie,4,94635
kid,4,62796
thy,4,129954
epy,4,1237
thw,4,32231
thv,4,1533
tht,4,581
epr,4,6310
thr,4,133020
epp,4,183027
akf,4,779
thn,4,1976
thm,4,13829
thl,4,12117
thk,4,4229
epk,4,9990
thi,4,230411
epi,4,16410
epf,4,5078
thf,4,894
sje,4,602
thc,4,19917
thb,4,16629
epa,4,81225
rus,4,531187
yeh,1,7848
yek,4,1586
wcz,4,5679
yem,2,1334
yel,4,16066
yen,1,326921
yea,4,59049
yec,4,1012
opc,4,702
yee,1,19992
yeg,4,1411
yez,3,994
yep,3,6593
yer,4,1076370
yet,4,26026
elk,4,103272
bny,4,526
biu,4,395
eln,4,10862
hao,1,43668
elb,4,79601
haa,4,87998
elf,4,73253
hae,4,164009
haf,4,185395
hag,4,177172
elz,4,26675
haz,4,53135
ely,4,147009
lch,4,199518
wce,4,6149
elp,4,68427
hau,4,208344
rnk,4,1772
opu,4,861
rni,4,109157
rnh,4,77224
rno,4,206014
rnm,4,2171
rnl,4,6580
rnb,4,44148
tve,4,893
lcz,4,14240
rnf,4,3460
crn,4,546
rnd,4,47322
opd,4,1391
rnz,4,485
rny,4,7160
wch,4,501
rns,4,308754
opm,4,5021
rnq,4,2320
opo,4,27518
rnw,4,21834
lck,4,2610
rnu,4,11483
efi,4,63442
whu,4,768
fay,4,23164
bpl,4,788
lja,4,774
vde,4,612
ywi,4,3315
zbe,4,5985
olc,4,54384
old,4,861290
zca,3,9657
olf,4,241139
zcl,4,2512
zco,3,53609
zci,4,778
oln,4,33566
eep,4,27908
zcu,3,5104
olr,4,944
ols,4,562533
olt,4,281823
olu,4,24446
olw,4,13423
oly,4,16441
olz,4,50769
efk,4,5109
zcz,4,7949
fot,4,2917
fou,4,86748
umw,4,6210
fow,4,111176
ums,4,17442
umr,4,6637
icc,4,55593
ykh,4,493
yko,4,5450
ykm,4,805
ykl,4,621
fod,4,2997
foe,4,4729
fof,2,680
fog,4,38207
wdl,4,2249
foc,4,3336
fol,4,114985
uml,4,32343
umn,4,19782
umi,4,8879
foi,4,2801
umk,4,1358
fok,1,572
hsc,4,576
plu,4,56543
hsa,1,756
hse,4,8073
hsi,1,10948
hsn,4,1717
hso,4,12319
ply,4,4660
ple,4,382946
pyo,1,965
hst,4,12525
hsu,1,15637
plo,4,30057
pli,4,48909
obn,4,1651
uya,1,3505
zup,4,2732
zuv,4,414
obk,4,954
zut,4,4178
awn,4,24361
obg,4,2537
eyf,4,4326
rim,4,218394
obc,4,573
rty,4,262943
zuc,4,15851
zua,3,3743
obz,4,1003
zue,3,51672
zuh,4,576
obu,4,20860
obr,4,148221
obs,4,233912
xu,1,14738
soc,4,16794
sob,4,21789
ahf,4,419
mbi,4,30875
ppe,4,302555
sof,4,2987
mbd,4,1726
mbe,4,380623
ppi,4,54898
soj,4,1804
ahn,4,113557
mba,4,115557
elh,4,31240
mbc,4,417
ahr,4,37732
sop,4,13336
sou,4,142961
mby,4,25197
sow,4,42401
sov,4,4138
sox,4,3152
ahy,4,21174
pyb,4,1043
mbs,4,80295
ufe,4,10522
giu,4,15641
awd,4,7531
wak,4,51032
wah,4,24050
wag,4,226837
waf,4,12076
wae,4,1182
wac,4,27113
wab,4,20313
waa,4,2044
gig,4,13886
olh,4,3117
gie,4,50531
rkl,4,91440
gic,4,604
gia,4,54888
wax,4,5862
waw,4,1110
wav,4,980
wau,4,13472
uyn,1,46241
gik,4,463
urd,4,174428
cec,4,19568
mtz,4,589
azk,4,616
azl,4,9145
azn,4,554
azb,4,1374
azc,3,5240
aze,4,107185
wda,4,894
url,4,166887
mth,4,559
mto,4,815
urm,4,69591
azp,3,626
azq,3,125734
azs,4,972
fke,4,2135
nno,4,416165
qin,1,1212
nni,4,757787
ln,4,95561
kor,4,60341
nne,4,1559128
qia,1,1626
nna,4,259680
zfu,4,10159
nny,4,62111
kho,4,48217
qiu,1,1934
nnu,4,11152
nnt,4,1840
nl,4,531296
nm,4,102947
nn,4,4256147
kou,4,13179
tit,4,80372
nb,4,553030
tip,4,44347
urv,4,24467
nf,4,270550
ny,4,449528
tio,4,18046
tij,3,11670
tik,4,1991
mrh,4,1494
nv,4,47526
nw,4,191818
ick,4,2144644
kot,4,20273
kva,4,913
urs,4,159225
yka,4,4694
ich,4,1437436
dqu,4,25169
fsc,4,723
fse,4,1429
hmi,4,242056
fsi,4,2442
fsk,4,425
fsm,4,423
fsn,4,759
mra,4,10183
fst,4,8782
fsu,4,694
osy,4,2319
roi,4,24488
lly,4,576094
osz,4,8601
osq,3,13650
fox,4,156480
oss,4,831976
llv,4,1108
osw,4,50857
osv,4,1354
osi,4,109700
osk,4,85451
osj,4,602
lln,4,21259
llm,4,207388
osn,4,24386
llc,4,5299
llb,4,10688
umz,4,461
llg,4,10253
llf,4,2366
osg,4,15935
osf,4,2093
vev,4,944
vew,4,452
vet,4,58290
veu,4,914
veq,4,1368
gea,4,36841
tka,4,9367
vez,3,211607
umg,4,32900
hbr,4,3586
veg,3,91232
vee,4,13582
vec,4,12631
veo,3,1581
vem,4,893
vek,4,1132
veh,4,1409
vei,4,39183
lre,4,27882
fso,4,37943
umb,4,97455
mg,4,40926
umm,4,292140
lry,4,7109
jec,4,408
fec,4,5928
jha,1,1174
gub,4,3290
foo,4,48753
gug,4,7175
guf,4,12389
dik,4,4972
did,4,15288
foh,4,1335
dif,4,35796
guh,4,718
dib,4,26677
dic,4,310603
jde,4,523
foj,4,524
dit,4,55288
guz,3,134115
guy,1,361403
diw,4,476
dip,4,17168
dir,4,17073
ruj,3,60529
hte,4,106551
htc,4,1308
htn,4,6589
htm,4,8549
htl,4,4613
ruh,4,18517
hti,4,9112
hth,4,618
htw,4,2435
ajc,4,4142
ufk,4,2551
mk,4,38000
dew,4,90261
hty,4,21499
ruo,1,30728
cgo,4,66020
dei,4,46477
rum,4,249111
oes,4,43552
zra,4,2584
oer,4,67756
zro,4,444
mq,4,13181
imd,4,484
tky,4,575
ydo,4,14201
ydl,4,918
ydm,4,425
ydi,4,2452
yde,4,284979
ydb,4,1164
rug,4,77953
ydz,4,679
oeu,4,5965
hma,4,250361
ydt,4,1237
ydu,4,1181
ydr,4,1560
yds,4,3269
box,4,16175
ekn,4,1004
ekm,4,7758
ekl,4,11390
ekk,4,4981
kss,4,1006
eki,4,12804
xma,4,3424
bop,4,3029
boq,4,482
eke,4,48240
ekd,4,626
hba,4,19765
ekb,4,1456
eka,4,10014
bow,4,461367
boh,4,55671
boi,4,45239
oeh,4,79047
hby,4,33959
bom,4,14145
ngm,4,21089
hbu,4,46303
eku,4,1466
ekt,4,474
bod,4,91837
ekr,4,401
bof,4,905
yiu,1,910
ipb,4,452
uzm,3,126788
uzn,4,2488
ipf,4,4877
uzi,4,9196
ipe,4,82132
ipk,4,15922
iph,4,10902
ipi,4,19289
ipn,4,527
ipo,4,12504
ipl,4,53521
ipm,4,22236
oec,4,10968
ipp,4,232572
uzy,4,2074
ipt,4,30707
ipu,4,442
uzt,4,1370
uzq,3,634
sky,4,53830
aym,4,84854
kse,4,25597
ufs,4,1161
ayi,2,788
ayh,4,21063
msw,4,526
cgu,4,83209
ayc,4,16844
oef,4,16666
mso,4,179509
msm,4,457
ngw,4,21301
msk,4,8983
ult,4,379022
msi,4,617
msh,4,3590
jaj,1,1444
mse,4,102552
ayv,4,1217
msc,4,409
ayp,4,5508
ngq,4,1964
ooe,4,1574
oog,4,6471
oof,4,12507
oob,4,2941
oom,4,144403
ool,4,268457
ooi,4,2779
ooh,4,10212
oot,4,199860
wvi,4,676
oos,4,60855
ooy,4,1576
wve,4,5331
ulz,4,33489
caz,3,21720
ulx,4,5413
ibl,4,41162
ibm,4,989
ibn,4,9704
czk,4,5581
ulr,4,20848
uls,4,90985
ulp,4,31457
cap,4,119641
caw,4,11652
cau,4,115058
cat,4,145577
cak,4,1943
fli,4,62412
ulh,4,17946
cah,4,37260
cao,1,13462
ull,4,1108562
ulm,4,36430
fla,4,132979
ulc,4,17846
cag,4,33822
caf,4,38791
uld,4,108787
ygr,4,1770
kyk,4,740
spy,4,3594
ger,4,2089849
coc,4,267362
spr,4,163083
kyg,4,654
spu,4,25085
chb,4,15898
sph,4,518
kyz,4,1884
spl,4,4753
ske,4,182001
kys,4,3675
wna,4,3487
yly,4,1597
gev,4,2017
fpa,4,1946
nys,4,8059
nyp,4,794
nyq,4,1749
rku,4,8476
nyw,2,654
nyk,4,1173
nyh,4,728
nyo,4,26731
nyl,4,3614
nym,4,585
nyb,4,4529
zuf,4,1446
nya,4,20985
nyg,4,6325
nyd,4,161466
maq,3,463
mau,4,103475
jeo,1,2126
maw,4,5696
sna,4,25272
sno,4,86322
yla,4,35911
aok,1,3028
aoi,1,690
sni,4,74143
maa,4,18602
aou,4,4477
snu,4,5518
byi,4,3324
maf,4,4757
mah,4,195605
mak,4,102366
mao,1,4557
sny,4,162010
omh,4,623
sz,4,108133
ghv,1,410
zui,4,1184
ghr,4,9224
geb,4,21559
ss,4,3179691
zun,3,49253
zni,4,15278
sw,4,770644
sv,4,17705
ylk,4,1125
sk,4,1349859
sj,4,10591
ghf,4,3827
sn,4,582484
ghb,4,23054
sl,4,1078935
sc,4,3355833
sb,4,458039
zny,4,5664
yli,4,18348
sg,4,47254
sf,4,65186
se,4,5600799
ttz,4,1164
tty,4,92946
lse,4,214087
lsc,4,9385
lsa,4,22681
lsn,4,2385
ttr,4,56865
lsl,4,2973
lsm,4,7056
lsk,4,63707
ttu,4,13175
lsi,4,12107
ttk,4,3373
lsw,4,19039
tti,4,312588
lsu,4,4840
ttn,4,22773
lsp,4,3811
ttc,4,7856
ttb,4,400
tta,4,150954
ylw,4,2032
ttg,4,3273
ttf,4,2102
tte,4,1125603
sod,4,10225
oyo,3,53982
jie,2,404
chc,4,16982
jic,3,14059
enq,4,2437
gth,4,1152
jio,1,760
jil,3,65481
jim,3,171292
gtm,4,1138
jii,1,2302
dja,1,606
jiw,1,1521
jit,1,1756
gts,4,3062
gem,4,34388
jip,4,478
dji,4,536
ly,4,1523362
dyc,4,9852
djo,4,438
nol,4,496915
noo,4,31948
noh,4,22230
noi,4,24651
noj,3,24493
nok,4,4067
nod,4,24859
nsd,4,5483
nof,4,18559
oyh,4,416
nob,4,69444
aho,4,122093
kko,4,408
aer,4,23097
kki,4,3243
noy,4,27087
noz,3,198490
not,4,73768
nou,4,51485
nov,4,161778
now,4,194441
nop,4,14796
oye,4,187059
shu,4,147079
ulb,4,30597
xli,4,1839
ppr,4,1420
xle,4,44531
shw,4,15670
csp,4,2399
wcr,4,803
sot,3,135982
gry,4,1992
ei,4,2795340
eh,4,727043
ek,4,473679
bke,4,4861
wni,4,77184
ef,4,679914
ec,4,1399334
eb,4,1087355
yls,4,5213
ez,3,7778190
et,4,4421184
dlu,4,8613
feo,4,2811
hcr,4,13286
ejn,4,1796
bly,4,22925
eji,3,70033
hcu,4,6112
eja,3,57484
ejc,4,1741
blo,4,194461
aeb,4,2569
bli,4,71582
ppn,4,4097
shd,4,1376
hch,4,620
hco,4,22948
hcl,4,409
ejs,4,1083
rlm,4,8192
rll,4,1294
rlo,4,150142
sko,4,60274
rli,4,243649
dpa,4,4586
orv,4,31927
lmq,4,9337
lms,4,60217
rla,4,238775
lmu,4,6581
rlb,4,9987
tbu,4,2292
lmi,4,22091
orl,4,104479
lmk,4,1518
lml,4,814
ork,4,147460
orh,4,25942
rlu,4,4035
rlt,4,33378
lmb,4,7506
orb,4,128835
shj,4,1001
rls,4,142033
lmg,4,5002
ixl,4,9336
yur,4,3284
yut,4,1401
cus,4,98792
yuh,4,3260
yul,4,1130
usk,4,64899
yua,1,5394
jwa,1,1841
sho,4,407884
yue,1,8601
onk,4,79963
onh,4,14882
zam,3,87594
onn,4,592319
ono,4,153772
onl,4,82968
onm,4,547
onb,4,6279
xc,4,610
zad,3,34261
onf,4,12523
xd,4,450
giz,4,2051
onz,3,821198
xx,4,577
zaz,3,2646
giy,1,869
zav,3,38234
zaw,4,7316
zau,4,3387
onv,4,11999
onw,4,47254
onu,4,4847
yie,4,487
iao,1,9551
iai,4,977
ebb,4,209200
iak,4,49620
gif,4,26380
ukw,2,538
yil,4,710
iag,3,128461
uks,4,770
mku,4,2774
iac,4,22612
uko,4,11004
feh,4,10966
iay,2,971
yip,1,5542
iaz,3,266544
iau,4,8658
iat,4,38126
iaw,1,422
fme,4,5363
iaq,4,1085
fum,4,1114
fma,4,307386
lfi,4,24505
rmy,4,2575
hua,1,59218
hub,4,157934
huc,4,39624
hul,4,350899
cup,4,17127
elm,4,236902
lhe,4,34335
huj,1,1175
ebi,4,9310
pni,4,1115
gio,4,69983
huv,4,959
huw,4,524
hup,4,22530
huq,1,478
pno,4,936
pna,4,434
ebk,4,3270
pne,4,13735
huy,1,46189
rzf,4,526
rze,4,25242
rzc,4,778
rzb,4,4196
rza,3,205455
myu,1,562
rzk,4,648
rzi,4,8416
fev,4,11673
rzw,4,640
dsl,4,9456
zsa,4,394
zsc,4,2308
zsi,4,10849
rzy,4,17070
lnh,4,495
saj,4,655
anf,4,127190
sao,1,3418
aln,4,6024
sac,4,46933
pro,4,175613
anh,4,68266
say,4,102024
anw,4,24924
ugr,4,1660
ans,4,1079911
saq,2,397
saw,4,72527
sav,4,94847
prz,4,6044
zob,4,2393
zoc,4,1959
zod,4,397
zoe,4,3269
zog,4,13585
lf,4,485133
zok,4,676
wys,4,12013
zoo,4,8323
zop,4,423
zos,3,20571
zot,4,2134
zov,4,994
zow,4,4044
zoy,3,3429
