pattern,black,white,amInd,asian,hispanic
bin/man,0.0121355586144,0.959118880477,0.00574806148199,0.00341043817389,0.00573243863271
bin/nes,0.7476,0.2345,0.0,0.0,0.0
bin/on,0.3937,0.5569,0.0071,0.0071,0.0129
bin/ski,0.0,0.9639,0.011,0.0,0.012
da/ach,0.0,0.9491,0.0,0.0,0.0301
da/an,0.0633754302326,0.628610046512,0.0194221395349,0.0608264593023,0.197948895349
da/and,0.00721581849025,0.960543808312,0.00383960983885,0.0054983884648,0.0114324003393
da/ang,0.0041,0.0252,0.0003,0.9411,0.0068
da/ano,0.0,0.6508,0.0,0.2182,0.0552
da/anos,0.0124,0.919,0.0222,0.0052,0.0288
da/au,0.0,0.831451186441,0.0,0.115741985472,0.0140591767554
da/berg,0.00327567332754,0.957414487402,0.00433783666377,0.00412065595135,0.0208650521286
da/bert,0.0,0.9788,0.0,0.0,0.0075
da/bourg,0.6348,0.2027,0.0153,0.0096,0.0707
da/by,0.278733758093,0.684168214983,0.00579147055801,0.003765245093,0.0140213749872
da/dale,0.1364,0.8027,0.0203,0.0067,0.0179
da/ec,0.0,0.9498,0.0066,0.0,0.0
da/ek,0.0098,0.9579,0.0,0.0,0.0167
da/ell,0.0927629421287,0.868402043707,0.00585202751922,0.00399570619183,0.0149361715904
da/er,0.145619433289,0.809624145581,0.00469845825494,0.0028186694375,0.0171981184532
da/ese,0.0,0.9335,0.0,0.0,0.0249
da/ez,0.1516,0.8061,0.0,0.0,0.0295
da/gren,0.0,0.9685,0.0,0.0051,0.0146
da/han,0.0073,0.881,0.0,0.0261,0.0131
da/i,0.0156488754156,0.63954211813,0.0,0.293675249364,0.0270006845296
da/ia,0.00540168117682,0.909051245872,0.0,0.0222062443711,0.0498421795257
da/ich,0.0,0.9344,0.0,0.0,0.0611
da/ier,0.2606,0.7045,0.0035,0.0027,0.0141
da/in,0.0793147407233,0.871191346984,0.00251722758296,0.0082331607437,0.0213362516671
da/ing,0.0644,0.8944,0.0054,0.0058,0.0151
da/is,0.306734659999,0.648165749989,0.0079247794995,0.00398712201074,0.0158300787432
da/ius,0.6491,0.2526,0.0,0.0,0.0228
da/kin,0.0084,0.9604,0.0,0.0,0.0173
da/ko,0.0921952601752,0.879987995878,0.00176300875837,0.00334971664091,0.0116358578053
da/la,0.00692069570057,0.087901168777,0.0023517128148,0.00378077640184,0.894631083901
da/li,0.0,0.973954021739,0.0,0.0,0.00651184782609
da/lin,0.00180765805877,0.956341317898,0.00209688334817,0.00592911843277,0.0157688037993
da/los,0.001,0.0697,0.0035,0.0084,0.9137
da/man,0.0,0.944361067911,0.0,0.0131333678936,0.0254030240194
da/mann,0.0,0.969218500867,0.00262105719237,0.00301451473137,0.0156056325823
da/nes,0.0245017699115,0.923049557522,0.00884867256637,0.00816371681416,0.0231699115044
da/o,0.00635895748482,0.852779826654,0.000738916201489,0.0974897357645,0.0273943146634
da/off,0.0,0.954801443817,0.00751889516635,0.00879284369115,0.0181814814815
da/on,0.130216952727,0.826184192501,0.00696460683584,0.0049565083219,0.0160211849044
da/ov,0.0,0.900622098422,0.0,0.0,0.0
da/ow,0.0095841898384,0.948186213423,0.00610674042801,0.00642041054011,0.0160282428301
da/quist,0.0,0.9557,0.0,0.0169,0.0137
da/ridge,0.677068141391,0.280540159635,0.00253564424173,0.00226396807298,0.0114103990878
da/sen,0.0,0.9438,0.0,0.0056,0.0206
da/ski,0.0,0.97606894198,0.0,0.0028688850967,0.00511183162685
da/son,0.152807931031,0.804398216819,0.00560856580863,0.00499834119511,0.0160169584124
da/us,0.187881118881,0.743680085132,0.00304870781393,0.0206902097902,0.0197300699301
da/vich,0.0,0.9344,0.0,0.0,0.0611
da/ville,0.4574,0.4805,0.0,0.0,0.0341
da/wood,0.020103125,0.778458816964,0.0,0.114413225446,0.0134052455357
da/za,0.00339591836735,0.28397755102,0.0,0.0680448979592,0.630424489796
das/ell,0.332,0.6322,0.0033,0.0052,0.0163
das/er,0.0,0.8884,0.0665,0.0,0.0202
das/i,0.0,0.9755,0.0,0.0,0.0
das/li,0.0,0.9755,0.0,0.0,0.0
das/o,0.0,0.954283025027,0.0,0.0,0.0271905331882
das/ow,0.0,0.9541,0.0,0.0141,0.023
de/ach,0.3043,0.666,0.0025,0.0019,0.0118
de/ago,0.0,0.0283,0.0,0.0017,0.9666
de/ak,0.0,0.967257358294,0.0,0.00414264170567,0.00935423816953
