mestra dominguez,-1,(0.5648148148148148, 'metzinger')
meyerowik,-1,(0.6232804232804233, 'kenoyer')
meyers-douglas,-1,(0.5297619047619048, 'salguero')
miloseski,-1,(0.8217592592592592, 'slominski')
mirault,1,('white', 0.9501000000000001)
mohotti,-1,(0.7071428571428572, 'hiott')
molvar,-1,(0.7555555555555556, 'markov')
monrobel,-1,(0.6130952380952381, 'bloomer')
morris timer,-1,(0.8333333333333334, 'morris')
mossaid,-1,(0.7658730158730159, 'tomassi')
mreel,-1,(0.8666666666666667, 'emler')
mulabagal,-1,(0.7414021164021164, 'arambula')
nduly,-1,(0.8666666666666667, 'lundy')
negorski,-1,(0.6666666666666666, 'kesinger')
nieto-epley,-1,(0.6818181818181818, 'pimentel')
nikmehr,-1,(0.8214285714285715, 'minkler')
nipipatkel,-1,(0.6523809523809524, 'pietila')
nocera-ross,-1,(0.6540404040404041, 'oscarson')
nomellini,-1,(0.7301587301587301, 'millien')
norgah,-1,(0.7777777777777777, 'horgan')
nosaryev,-1,(0.6130952380952381, 'ryerson')
nri-nwolisa,-1,(0.6262626262626262, 'willison')
o'harrah,1,('white', 0.9620000000000001)
o'shinsky,1,('white', 0.9783)
odenhahl,-1,(0.6833333333333332, 'leonhard')
okosuns,-1,(0.7936507936507936, 'skousen')
okushi,-1,(0.7888888888888891, 'kulish')
onike,-1,(0.7777777777777778, 'koenig')
oparah,-1,(0.8222222222222223, 'parham')
orantescampos,-1,(0.6271062271062271, 'monasterio')
orrence,-1,(0.8492063492063493, 'cerrone')
oszczkiewicz,-1,(0.7264309764309765, 'paszkiewicz')
ozsancak,-1,(0.7976190476190476, 'stanczak')
pachecojuarez,-1,(0.6617826617826618, 'peacher')
padaloy,-1,(0.6428571428571429, 'wojdyla')
palevino,1,('hispanic', 0.5777)
pamsay,-1,(0.7555555555555556, 'matyas')
pangrazi,-1,(0.8134920634920636, 'zangari')
pankop,-1,(0.8444444444444446, 'knopp')
papadikis,-1,(0.6648148148148149, 'spaid')
papavramidis,-1,(0.7893518518518517, 'papadakis')
parvana,-1,(0.7095238095238097, 'navarra')
pate-coombs,-1,(0.5200216450216449, 'moscato')
pavlicka,1,('white', 0.9587)
pavolotsky,-1,(0.8107142857142858, 'podolsky')
pencerga,-1,(0.8154761904761906, 'creegan')
pendergrace,-1,(0.7840909090909092, 'pergande')
periclakes,-1,(0.7634920634920636, 'cieslak')
pestrich,-1,(0.8869047619047619, 'pietsch')
petersonsevoyan,-1,(0.652910052910053, 'pesavento')
pheaster,1,('white', 0.8841)
piedrahipa,-1,(0.8666666666666667, 'piedra')
pinckiney,-1,(0.8306878306878307, 'pinnick')
pinone,1,('hispanic', 0.8964)
pochik,-1,(0.8222222222222223, 'ipock')
poltie,1,('black', 0.8388)
pomedli,-1,(0.7904761904761904, 'meidl')
pontecorvo-noonan,-1,(0.5978057889822596, 'oconnor')
qado,-1,(0.7833333333333333, 'quade')
rahapuram,-1,(0.7301587301587301, 'abraham')
raklis,-1,(0.8777777777777778, 'karis')
ramour,1,('white', 0.6457999999999999)
raphiel pillai,-1,(0.6238095238095238, 'filippelli')
reisedge,-1,(0.8214285714285715, 'riedesel')
rhatigan-drexler,-1,(0.7245370370370371, 'hartinger')
rickardsdr,-1,(0.8190476190476191, 'dickard')
riechow,1,('white', 0.9798)
riggars,-1,(0.8154761904761906, 'garrigus')
rinah,-1,(0.6555555555555556, 'harbin')
rispaud,-1,(0.7380952380952381, 'pardi')
robitzer,-1,(0.8630952380952381, 'roberti')
rocabello,-1,(0.8306878306878307, 'barcelo')
rofiek,-1,(0.7777777777777778, 'ferko')
romniou,-1,(0.8134920634920636, 'moroni')
rosalbina,-1,(0.6944444444444443, 'rabalais')
rothenbaum,-1,(0.5185185185185185, 'lamberton')
rothoue,-1,(0.8047619047619049, 'routh')
rudnick meade,-1,(0.6816239316239318, 'riendeau')
ruetty,-1,(0.7492063492063492, 'buttrey')
sablano,-1,(0.8968253968253969, 'albano')
sainz-funaro,-1,(0.611111111111111, 'franzoni')
salinas de garcia,-1,(0.708457120221826, 'saldarriaga')
sauerwine,1,('white', 0.9903)
schavez,-1,(0.8492063492063492, 'chaves')
schefren,-1,(0.8154761904761906, 'fechner')
schffran,-1,(0.8630952380952381, 'scharff')
sedelow,-1,(0.8492063492063493, 'denslow')
