,,,,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.0001
ancevicius,0, ('white',0.750575471,0,0,1,1,1,1,1,1,1,1
anderson-bell,0, ('white',0.780826424,0,0,1,1,1,1,1,1,1,1
andreacck,0,-1,,0,0,0,0,0,0,0,0,0,0
andreuk,0, ('white',0.831788684,0,1,1,1,1,1,1,1,1,1
andricik,0, ('white',0.856558148,0,1,1,1,1,1,1,1,1,1
angang,0, ('asian',0.811963733,0,1,1,1,1,1,1,1,1,1
angoori,0,-1,,0,0,0,0,0,0,0,0,0,0
angpraseuth,0,-1,,0,0,0,0,0,0,0,0,0,0
anielewicz,0,-1,,0,0,0,0,0,0,0,0,0,0
annis-fax,0,-1,,0,0,0,0,0,0,0,0,0,0
anthracite,0,-1,,0,0,0,0,0,0,0,0,0,0
antonisen,0, ('white',0.953968888,1,1,1,1,1,1,1,1,1,1
apaliso,0, ('white',0.613837926,0,0,0,1,1,1,1,1,1,1
apichardtum,0, ('white',0.613837926,0,0,0,1,1,1,1,1,1,1
aponte,0, ('white',0.613837926,0,0,0,1,1,1,1,1,1,1
apostolopo,0, ('white',0.613837926,0,0,0,1,1,1,1,1,1,1
appott,0, ('white',0.613837926,0,0,0,1,1,1,1,1,1,1
aravantagi,0,-1,,0,0,0,0,0,0,0,0,0,0
arazil,0,-1,,0,0,0,0,0,0,0,0,0,0
arbetinos,0,-1,,0,0,0,0,0,0,0,0,0,0
archimbault,0,-1,,0,0,0,0,0,0,0,0,0,0
argade,0,-1,,0,0,0,0,0,0,0,0,0,0
arghand-mazlan,0, ('white',0.757381775,0,0,1,1,1,1,1,1,1,1
arias,0,-1,,0,0,0,0,0,0,0,0,0,0
aridn,0,-1,,0,0,0,0,0,0,0,0,0,0
arightman,0, ('white',0.817381465,0,1,1,1,1,1,1,1,1,1
arinzechi,0,-1,,0,0,0,0,0,0,0,0,0,0
arizaga-vera,0,-1,,0,0,0,0,0,0,0,0,0,0
armstrong-bushey,0,-1,,0,0,0,0,0,0,0,0,0,0
aronstamm,0,-1,,0,0,0,0,0,0,0,0,0,0
arquilevich,0, ('white',0.955769993,1,1,1,1,1,1,1,1,1,1
arreaza-ramirez,0, ('hispanic',0.918764006,1,1,1,1,1,1,1,1,1,1
arriagh,0,-1,,0,0,0,0,0,0,0,0,0,0
arzunyan,0, ('white',0.757381775,0,0,1,1,1,1,1,1,1,1
ascela,0, ('hispanic',0.61644228,0,0,0,1,1,1,1,1,1,1
aschbrenner,0, ('white',0.842465921,0,1,1,1,1,1,1,1,1,1
asdas,0,-1,,0,0,0,0,0,0,0,0,0,0
aseazvbi-g,0,-1,,0,0,0,0,0,0,0,0,0,0
asinero,0, ('hispanic',0.800592517,0,1,1,1,1,1,1,1,1,1
asknund,0,-1,,0,0,0,0,0,0,0,0,0,0
aspetti,0,-1,,0,0,0,0,0,0,0,0,0,0
assigbey,0,-1,,0,0,0,0,0,0,0,0,0,0
assim,0,-1,,0,0,0,0,0,0,0,0,0,0
aswin,0, ('white',0.758582714,0,0,1,1,1,1,1,1,1,1
atazadeh,0,-1,,0,0,0,0,0,0,0,0,0,0
atiefa,0,-1,,0,0,0,0,0,0,0,0,0,0
atiena,0,-1,,0,0,0,0,0,0,0,0,0,0
attan,0, ('white',0.757381775,0,0,1,1,1,1,1,1,1,1
attleson,0, ('white',0.722337889,0,0,1,1,1,1,1,1,1,1
attur,0,-1,,0,0,0,0,0,0,0,0,0,0
aucar,0,-1,,0,0,0,0,0,0,0,0,0,0
augspach,0, ('white',0.852081071,0,1,1,1,1,1,1,1,1,1
auraelio,0,-1,,0,0,0,0,0,0,0,0,0,0
auta-reid,0,-1,,0,0,0,0,0,0,0,0,0,0
avalosruiz,0,-1,,0,0,0,0,0,0,0,0,0,0
avihasira,0,-1,,0,0,0,0,0,0,0,0,0,0
avioes,0,-1,,0,0,0,0,0,0,0,0,0,0
awuoc,0,-1,,0,0,0,0,0,0,0,0,0,0
aza,0, ('hispanic',0.784785818,0,0,1,1,1,1,1,1,1,1
azarito,0,-1,,0,0,0,0,0,0,0,0,0,0
aziskhanova,0, ('white',0.555074336,0,0,0,0,1,1,1,1,1,1
azubogu,0,-1,,0,0,0,0,0,0,0,0,0,0
azzierene,0,-1,,0,0,0,0,0,0,0,0,0,0
b,0,-1,,0,0,0,0,0,0,0,0,0,0
baanvinger,0, ('white',0.842465921,0,1,1,1,1,1,1,1,1,1
babacas,0,-1,,0,0,0,0,0,0,0,0,0,0
baberwal,0,-1,,0,0,0,0,0,0,0,0,0,0
babitskya,0,-1,,0,0,0,0,0,0,0,0,0,0
bacewicz,0,-1,,0,0,0,0,0,0,0,0,0,0
bachiocchi,0,-1,,0,0,0,0,0,0,0,0,0,0
badaun,0,-1,,0,0,0,0,0,0,0,0,0,0
baez-lugo,0,-1,,0,0,0,0,0,0,0,0,0,0
bagarinao,0,-1,,0,0,0,0,0,0,0,0,0,0
balagangadharatila,0, ('hispanic',0.61644228,0,0,0,1,1,1,1,1,1,1
baldeh,0,-1,,0,0,0,0,0,0,0,0,0,0
baldjiev,0, ('asian',0.529538142,0,0,0,0,1,1,1,1,1,1
balkim,0,-1,,0,0,0,0,0,0,0,0,0,0
ballard-collins,0,-1,,0,0,0,0,0,0,0,0,0,0
balodemas,0,-1,,0,0,0,0,0,0,0,0,0,0
baloines,0, ('white',0.597557474,0,0,0,0,1,1,1,1,1,1
banakus,0, ('white',0.750575471,0,0,1,1,1,1,1,1,1,1
bandet,0, ('white',0.817628628,0,1,1,1,1,1,1,1,1,1
bandjlich,0, ('white',0.939219377,1,1,1,1,1,1,1,1,1,1
banzer,0, ('white',0.842465921,0,1,1,1,1,1,1,1,1,1
baradley,0, ('white',0.70983789,0,0,1,1,1,1,1,1,1,1
baranetskyy,0, ('white',0.70983789,0,0,1,1,1,1,1,1,1,1
barclay-gomes,0, ('white',0.70983789,0,0,1,1,1,1,1,1,1,1
barcohanai,0, ('white',0.70983789,0,0,1,1,1,1,1,1,1,1
bardenshteyn,0, ('white',0.70983789,0,0,1,1,1,1,1,1,1,1
barnatovich,0, ('white',0.981434508,1,1,1,1,1,1,1,1,1,1
barnes-westberry,0, ('white',0.70983789,0,0,1,1,1,1,1,1,1,1
barouti,0, ('white',0.70983789,0,0,1,1,1,1,1,1,1,1
barreth,0, ('white',0.70983789,0,0,1,1,1,1,1,1,1,1
bartky,0, ('white',0.70983789,0,0,1,1,1,1,1,1,1,1
bartlett,0, ('white',0.70983789,0,0,1,1,1,1,1,1,1,1
barutis,0, [('white',0.781698089,0,0,1,1,1,1,1,1,1,1
barvera,0, ('white',0.70983789,0,0,1,1,1,1,1,1,1,1
basheerudin,0, ('white',0.758582714,0,0,1,1,1,1,1,1,1,1
bashekimoglu,0,-1,,0,0,0,0,0,0,0,0,0,0
baszczoski,0, ('white',0.970744068,1,1,1,1,1,1,1,1,1,1
batlik,0, ('white',0.856558148,0,1,1,1,1,1,1,1,1,1
batsatsang,0, ('asian',0.811963733,0,1,1,1,1,1,1,1,1,1
baundsgard,0, ('white',0.771259011,0,0,1,1,1,1,1,1,1,1
baussus,0, ('white',0.750575471,0,0,1,1,1,1,1,1,1,1
bavchenkova,0,-1,,0,0,0,0,0,0,0,0,0,0
bawla,0, ('hispanic',0.61644228,0,0,0,1,1,1,1,1,1,1
bays-muchmore,0,-1,,0,0,0,0,0,0,0,0,0,0
bazac,0, ('white',0.682776421,0,0,0,1,1,1,1,1,1,1
bazarnicki,0, ('white',0.973042058,1,1,1,1,1,1,1,1,1,1
bazinaw,0,-1,,0,0,0,0,0,0,0,0,0,0
bazoojo,0,-1,,0,0,0,0,0,0,0,0,0,0
beatty-hull,0,-1,,0,0,0,0,0,0,0,0,0,0
beaucanp,0,-1,,0,0,0,0,0,0,0,0,0,0
bechley,0,-1,,0,0,0,0,0,0,0,0,0,0
beckvar,0,-1,,0,0,0,0,0,0,0,0,0,0
bednarozyk,0, ('white',0.971848365,1,1,1,1,1,1,1,1,1,1
begallia,0, ('hispanic',0.774223435,0,0,1,1,1,1,1,1,1,1
begalske,0,-1,,0,0,0,0,0,0,0,0,0,0
behboodikhah,0,-1,,0,0,0,0,0,0,0,0,0,0
bellandrews,0,-1,,0,0,0,0,0,0,0,0,0,0
bellil,0,-1,,0,0,0,0,0,0,0,0,0,0
beltreschi,0,-1,,0,0,0,0,0,0,0,0,0,0
benas,0, ('white',0.729447814,0,0,1,1,1,1,1,1,1,1
bendschneider,0, [('white',0.921297484,1,1,1,1,1,1,1,1,1,1
bendshadler,0, [('white',0.921297484,1,1,1,1,1,1,1,1,1,1
benega,0, ('white',0.729447814,0,0,1,1,1,1,1,1,1,1
benmeziane,0, ('white',0.729447814,0,0,1,1,1,1,1,1,1,1
bennekou,0, ('white',0.498152989,0,0,0,0,0,1,1,1,1,1
bennett-hope,0, ('white',0.729447814,0,0,1,1,1,1,1,1,1,1
bennett-johnson,0, [('white',0.80766546,0,1,1,1,1,1,1,1,1,1
bensrieti,0, ('white',0.729447814,0,0,1,1,1,1,1,1,1,1
bentley-wynn,0, ('white',0.729447814,0,0,1,1,1,1,1,1,1,1
benton-franklin,0, ('white',0.896808212,0,1,1,1,1,1,1,1,1,1
berexa,0,-1,,0,0,0,0,0,0,0,0,0,0
berger,0, ('white',0.842465921,0,1,1,1,1,1,1,1,1,1
berrios,0,-1,,0,0,0,0,0,0,0,0,0,0
bessette,0,-1,,0,0,0,0,0,0,0,0,0,0
bethtel,0, ('white',0.608353394,0,0,0,1,1,1,1,1,1,1
betsui,0, ('white',0.608353394,0,0,0,1,1,1,1,1,1,1
beuchanan,0, ('white',0.757381775,0,0,1,1,1,1,1,1,1,1
bevaun,0,-1,,0,0,0,0,0,0,0,0,0,0
beyne,0,-1,,0,0,0,0,0,0,0,0,0,0
bezeryan,0, ('white',0.757381775,0,0,1,1,1,1,1,1,1,1
bhatraju,0,-1,,0,0,0,0,0,0,0,0,0,0
bhusal-basnelt,0,-1,,0,0,0,0,0,0,0,0,0,0
biakely,0,-1,,0,0,0,0,0,0,0,0,0,0
bianrosa,0,-1,,0,0,0,0,0,0,0,0,0,0
bichilie,0,-1,,0,0,0,0,0,0,0,0,0,0
bickbert,0, ('white',0.806784223,0,1,1,1,1,1,1,1,1,1
bidana,0,-1,,0,0,0,0,0,0,0,0,0,0
bidochko,0, ('white',0.836063092,0,1,1,1,1,1,1,1,1,1
bieberfeld,0,-1,,0,0,0,0,0,0,0,0,0,0
biehl-judge,0,-1,,0,0,0,0,0,0,0,0,0,0
bigonia,0, ('hispanic',0.774223435,0,0,1,1,1,1,1,1,1,1
bikxey,0,-1,,0,0,0,0,0,0,0,0,0,0
billyzone,0,-1,,0,0,0,0,0,0,0,0,0,0
birland,0, ('white',0.826674175,0,1,1,1,1,1,1,1,1,1
birnell,0, ('white',0.780826424,0,0,1,1,1,1,1,1,1,1
biruly,0,-1,,0,0,0,0,0,0,0,0,0,0
bisono,0,-1,,0,0,0,0,0,0,0,0,0,0
biss-oconnell,0, ('white',0.780826424,0,0,1,1,1,1,1,1,1,1
bisschop,0,-1,,0,0,0,0,0,0,0,0,0,0
bitum,0,-1,,0,0,0,0,0,0,0,0,0,0
biy,0,-1,,0,0,0,0,0,0,0,0,0,0
blacket,0, ('white',0.817628628,0,1,1,1,1,1,1,1,1,1
blackywell,0, ('white',0.78298408,0,0,1,1,1,1,1,1,1,1
blandings,0,-1,,0,0,0,0,0,0,0,0,0,0
blanquer,0, ('white',0.842465921,0,1,1,1,1,1,1,1,1,1
blausy,0,-1,,0,0,0,0,0,0,0,0,0,0
bloodstein,0, ('white',0.758582714,0,0,1,1,1,1,1,1,1,1
blosenhauer,0, ('white',0.842465921,0,1,1,1,1,1,1,1,1,1
blotz,0,-1,,0,0,0,0,0,0,0,0,0,0
blovin,0, ('white',0.758582714,0,0,1,1,1,1,1,1,1,1
boccucci,0,-1,,0,0,0,0,0,0,0,0,0,0
bodla,0, ('hispanic',0.61644228,0,0,0,1,1,1,1,1,1,1
bodziandowski,0, ('white',0.970744068,1,1,1,1,1,1,1,1,1,1
boekema,0, ('white',0.837344991,0,1,1,1,1,1,1,1,1,1
boesenberg,0, ('white',0.959527408,1,1,1,1,1,1,1,1,1,1
boganwright,0,-1,,0,0,0,0,0,0,0,0,0,0
