JORGENSEN           ,8390
JARRETT             ,8350
SADLER              ,8322
KILGORE             ,8288
MINER               ,8285
BEAVER              ,8280
BASSETT             ,8264
HADLEY              ,8260
GOODE               ,8241
LEUNG               ,8196
SALGADO             ,8196
NOWAK               ,8170
SHELDON             ,8166
JEAN                ,8143
KOEHLER             ,8135
WILHELM             ,8133
COYLE               ,8128
SOUZA               ,8095
BRANTLEY            ,8088
STEWARD             ,8087
STANFORD            ,8072
ASH                 ,8053
TRIPP               ,8046
CUMMINS             ,8033
HINSON              ,8021
SAMUEL              ,8014
CANO                ,8004
BARNARD             ,8003
PAYTON              ,7997
ZHAO                ,7967
TIDWELL             ,7963
DEAL                ,7954
BEAL                ,7949
GOODRICH            ,7932
PERALTA             ,7928
MELVIN              ,7926
RAINES              ,7921
FLAHERTY            ,7896
HURD                ,7891
BLACKMON            ,7890
TOBIN               ,7863
HENLEY              ,7853
MILTON              ,7851
LIANG               ,7829
CASTLE              ,7823
FONTENOT            ,7823
HANLEY              ,7812
MAJOR               ,7798
MCMULLEN            ,7793
GIFFORD             ,7788
ERNST               ,7780
CORNELIUS           ,7765
YOST                ,7762
MURDOCK             ,7759
PELLETIER           ,7740
KRAUS               ,7715
HAWLEY              ,7697
MCHUGH              ,7694
CHRISTIANSEN        ,7649
ROSAS               ,7645
THACKER             ,7644
SYLVESTER           ,7628
WESTBROOK           ,7624
FARR                ,7621
BEYER               ,7621
FOUNTAIN            ,7604
DARLING             ,7602
KOWALSKI            ,7596
PENN                ,7570
LANGFORD            ,7566
LANDIS              ,7557
BLOUNT              ,7552
HIRSCH              ,7516
LEDBETTER           ,7513
VANG                ,7492
PAPPAS              ,7492
SPANGLER            ,7466
CORCORAN            ,7460
HANNAH              ,7453
REEDER              ,7450
HARGROVE            ,7450
BOLDEN              ,7446
MESSER              ,7440
PAIGE               ,7436
MACHADO             ,7420
ABEL                ,7415
ZIMMER              ,7414
O'CONNELL           ,7414
GRECO               ,7363
THORNE              ,7361
GAUTHIER            ,7347
ALBRECHT            ,7335
MCQUEEN             ,7314
ZHENG               ,7314
HEDRICK             ,7310
ZAPATA              ,7310
MARCUS              ,7289
CAVANAUGH           ,7266
SCHUSTER            ,7256
LOVETT              ,7225
READ                ,7211
ROLAND              ,7204
WALDRON             ,7198
MCCRACKEN           ,7189
LEDFORD             ,7179
SILVERMAN           ,7177
KISER               ,7174
KEATING             ,7173
MCRAE               ,7166
VALLE               ,7158
GASTON              ,7134
ALDRICH             ,7131
MCNEAL              ,7126
NEUMANN             ,7122
KENNY               ,7116
CORMIER             ,7103
MAGANA              ,7100
MOSELEY             ,7097
JUDD                ,7095
ECKERT              ,7092
OAKLEY              ,7074
DARBY               ,7063
NAPIER              ,7057
SCHWAB              ,7056
LACKEY              ,7045
VERNON              ,7035
KINCAID             ,7021
PRATER              ,7018
HU                  ,7016
ALTMAN              ,7011
CAPPS               ,7001
PINTO               ,6997
OAKES               ,6995
WAITE               ,6983
DICKENS             ,6951
KEEN                ,6951
DOBBS               ,6939
SCHREIBER           ,6938
STACY               ,6937
SALDANA             ,6930
BRENNER             ,6921
KEENE               ,6911
CAUDILL             ,6908
AMBROSE             ,6875
MADSEN              ,6871
MCCAIN              ,6859
KYLE                ,6856
ULRICH              ,6852
COE                 ,6841
CAGLE               ,6832
EPPS                ,6831
STALEY              ,6820
CRANDALL            ,6796
WHITTINGTON         ,6792
DELONG              ,6792
DIETRICH            ,6778
CLEARY              ,6776
BURROWS             ,6776
WHITTAKER           ,6776
WELLER              ,6773
CARRASCO            ,6771
SCHRADER            ,6769
FONSECA             ,6759
BLEDSOE             ,6758
WEINER              ,6757
WOODY               ,6746
ALLRED              ,6744
HAUSER              ,6707
HAWK                ,6693
SHAVER              ,6691
PRESCOTT            ,6691
NAGY                ,6690
GIL                 ,6684
JANSEN              ,6684
MCLAIN              ,6683
GIPSON              ,6656
MORELAND            ,6632
TRIPLETT            ,6628
PEOPLES             ,6619
EASTMAN             ,6609
TONEY               ,6608
JEFFERS             ,6605
ATWOOD              ,6594
HOBSON              ,6589
BOUDREAUX           ,6587
KIMBLE              ,6583
NUGENT              ,6582
AVALOS              ,6579
DELUCA              ,6566
DENNY               ,6562
MCNALLY             ,6562
ONEIL               ,6553
STAPLES             ,6543
HENNING             ,6543
SEGURA              ,6541
