suffix,occurences,amInd,asian,black,hispanic,white
ak,319242,0.014307908,0.889889096,0.001457443,0.066912709,0.011959961
aj,9905,0.046628592,0.414741625,0.004041827,0.370419758,0.016258082
iu,68231,0.001047874,0.021515657,0.000279433,0.94289588,0.012690271
an,8776408,0.089854326,0.757381775,0.005826901,0.057259709,0.072282255
anu,1268,0.545732334,0.07807224,0,0.272073186,0
ik,110261,0.007612816,0.856558148,0.001154458,0.096829591,0.012149838
escu,1565,0,0.948868562,0,0.005094569,0.014664728
in,4326621,0.129027335,0.758582714,0.006582093,0.036988026,0.051160225
ia,1490415,0.006775404,0.180387198,0.005487033,0.024105063,0.774223435
borough,21941,0.22178516,0.743733216,0.004466114,0.002232259,0.013985602
well,1110123,0.175761757,0.78298408,0.006250458,0.003805782,0.01529713
ing,1762227,0.131635796,0.811543589,0.006612258,0.017780319,0.015897639
court,37601,0.014461472,0.567635446,0.006315691,0.003263078,0.391888671
nes,2136650,0.317783629,0.597557474,0.00801329,0.005867867,0.052895028
litz,6131,0,0.969835834,0,0.00228793,0.010915805
lin,795761,0.119873335,0.763222718,0.006101958,0.063667153,0.030889017
dotter,833,0.006,0.9484,0.0132,0.0072,0.0096
ny,186508,0.133987961,0.807381952,0.009671803,0.011424037,0.020765327
ulis,3061,0,0.966675564,0.002293858,0,0.012759654
ens,777918,0.189451105,0.765626264,0.00725238,0.003959043,0.017366445
ent,278986,0.122954233,0.828611229,0.006800922,0.006007396,0.017964743
ilos,1263,0.010279335,0.585093824,0.004763895,0.052271734,0.325383135
gate,38220,0.060638187,0.896393302,0.007669809,0.004736661,0.01482533
out,96220,0.029149262,0.926835163,0.008264135,0.0056946,0.01469714
eff,33946,0.021250059,0.936012817,0.009073369,0.004539345,0.016855232
dale,96740,0.194366843,0.757006129,0.010049847,0.004599549,0.016530593
nik,24354,0.000495524,0.950928435,0.001402882,0.01429403,0.014240215
ycz,469,0,0.9723,0,0,0.0192
skog,770,0,0.9571,0.013,0,0.013
hang,113662,0.006797465,0.022505149,0.000181165,0.921832984,0.019241437
kas,16515,0.004077723,0.957565819,0.001217875,0.004254466,0.016459594
stad,21986,0.000773374,0.964648858,0.00277976,0.002407582,0.013112194
iak,49167,0.000766294,0.970396996,0.000751994,0.002119202,0.012006836
quist,67183,0.004102056,0.960940533,0.002735752,0.005030627,0.013734181
kin,231035,0.161844795,0.793910195,0.00416823,0.007883088,0.015922575
on,19995540,0.215171072,0.708743068,0.007633228,0.009256773,0.042590083
ovo,4442,0.055387596,0.624489532,0,0.004291085,0.293568145
man,4267343,0.095781261,0.817381465,0.005835853,0.01046338,0.05539592
ago,114106,0.01784531,0.143126943,0.002363035,0.042915913,0.783482149
ka,129101,0.002069548,0.836228972,0.005407335,0.117320844,0.014353869
don,451802,0.186260594,0.712553949,0.006642801,0.007353237,0.070145095
i,2619014,0.010253559,0.756760833,0.001795895,0.165633275,0.039072839
vich,29163,0.001030631,0.955769993,0.00092675,0.002099136,0.020944097
cki,90965,0.000530129,0.973042058,0.000876664,0.002748656,0.010197645
berg,404907,0.005546345,0.959527408,0.002141008,0.004899432,0.01497922
